Requirement ID,Requirement,Dimension,Issue
REQ-001,Optimizing for resource efficiency to reduce operational costs over the long term.,Economic,Longeitivity
REQ-002,Ensuring systems promote fair market practices.,Economic,Affordability
REQ-003,Optimize energy consumption in home and city systems using predictive and adaptive control algorithms.,Economic,Cost Effectiveness
REQ-004,The system should provide an affordable solution for home automation.,Economic,Affordability
REQ-005,The system should be a low-cost solution for home automation.,Economic,Affordability
REQ-006,The system should address the challenges of connecting inhabitants to technology in developing economies particularly concerning system costs.,Economic,Affordability
REQ-007,The system should offer cost savings to users.,Economic,Cost-Effectiveness
REQ-008,The system should have low costs to enable wider diffusion of smart home technologies.,Economic,Affordability
REQ-009,Ensure compatibility with evolving real-time pricing models and smart grid standards.,Economic,Cost effectiveness
REQ-010,System must support development of economically accurate energy models.,Economic,Cost effectiveness
REQ-011,The system must minimize operational energy costs through dynamic optimization strategies.,Economic,Cost effectiveness
REQ-012,The system must perform intelligent energy trading with the grid to generate additional revenue.,Economic,Cost effectiveness
REQ-013,The system must achieve a high return on investment (e.g. 39.2% annually).,Economic,Cost effectiveness
REQ-014,The system must implement predictive maintenance to reduce equipment downtime and cost.,Economic,Cost effectiveness
REQ-015,The system must optimize battery charging/discharging to reduce reliance on costly grid energy.,Economic,Cost effectiveness
REQ-016,The system should increase affordability of services,Economic,Affordability
REQ-017,Determine means to sustainably expedite broad-based development implying stable and sufficient energy supply (including grid electricity) to cater to growing demand.,Economic,Cost effectiveness
REQ-018,System must ensure sustainable growth and development through data-informed planning,Economic,Cost effectiveness
REQ-019,Identify energy-intensive appliances and peak demand periods.,Environemntal,Resource Management
REQ-020,Collect and transmit real-time electricity consumption data.,Environemntal,Energy Efficiency
REQ-021,System must optimize energy consumption to ensure IoT devices and systems operate with minimal energy waste.,Environemntal,Energy Efficiency
REQ-022,An appropriate low-energy color scheme should be chosen based on the monitor technology,Environmental,Energy Consumption
REQ-023,Excessive use of computer graphics processing units should be avoided,Environmental,Energy Consumption
REQ-024,Low energy-consuming states of graphics processing units should be used,Environmental,Energy Consumption
REQ-025,Screen changes during the performance of tasks should be reduced,Environmental,Energy Consumption
REQ-026,Every in-efficient code patterns should be resolved,Environmental,Carbon Footprint
REQ-027,Software systems should be designed to reduce energy consumption during their operation. This includes considering the energy used by hardware running the software and data centers and network communication.,Environmental,Energy Consumption
REQ-028,Energy management systems should minimize COâ‚‚ emissions and optimize energy use,Environmental,Carbon Footprint
REQ-029,Energy management systems should minimize COâ‚‚ emissions and optimize energy use,Environmental,Energy Consumption
REQ-030,Systems must support renewable energy integration including solar and wind and bioenergy,Environmental,Energy Efficiency
REQ-031,System must enable cities to use their smart resources to be environmentally amicable.,Environmental,Resource Management
REQ-032,System must support the reduction of carbon emissions from nonrenewable energy resources.,Environmental,Carbon Footprint
REQ-033,System must facilitate the prevention of energy waste in homes and organizations.,Environmental,Energy Consumption
REQ-034,Enable precise environmental monitoring.,Environmental,Carbon Footprint
REQ-035,Minimize computational demands via federated learning.,Environmental,Resource Management
REQ-036,Smart home systems should consider the environmental impact of their entire lifecycle.,Environmental,Carbon Footprint
REQ-037,The system should provide tips for the optimization of resource consumption.,Environmental,Resource Management
REQ-038,The system should contribute to reducing electricity consumption.,Environmental,Resource Management
REQ-039,The system should consider the disposal of its components at the end of their life cycle.,Environmental,E-waste management
REQ-040,Optimize resources throughout the energy value chain.,Environmental,Carbon Footprint
REQ-041,Ensure balance between energy supply and demand.,Environmental,Resource Management
REQ-042,The system can provide real-time data and actionable recommendations that enables users to make informed decisions that lead to significant energy savings and reduced carbon footprint,Environmental,Carbon Footprint
REQ-043,Provide tools and metrics for monitoring and verifying emission reductions.,Environmental,Carbon Footprint
REQ-044,Ensure the energy system has adequate power generation capacity and a diverse mix of sources for more reliability.,Environmental,Energy Efficiency
REQ-045,The system must reduce grid energy consumption and optimize the use of renewable sources (e.g. solar).,Environmental,Energy efficiency
REQ-046,The system must maintain indoor air quality within acceptable COâ‚‚ and pollutant levels.,Environmental,Carbon Footprint
REQ-047,The system must monitor and control lighting levels to reduce unnecessary energy usage.,Environmental,Energy efficiency
REQ-048,The system must balance HVAC operations to reduce energy use while preserving comfort.,Environmental,Energy efficiency
REQ-049,The system must integrate weather data to adjust building systems for minimizing environmental impact.,Environmental,Context-awareness
REQ-050,Determine means to sustainably expedite broad-based development implying stable and sufficient energy supply (including grid electricity) to cater to growing demand.,Environmental,Resource Management
REQ-051,Achieve optimal performance while conserving energy.,Environmental,Energy Efficiency
REQ-052,Optimize energy consumption and communication delay and and network lifetime in energy-constrained IoT environments.,Environmental,Energy efficiency
REQ-053,System must ensure sustainable growth and development through data-informed planning,Social,Inclusitivity
REQ-054,Identify the most effective way to be sustainable over alternative options at different levels to ensure the most sustainable choice is being made.,Social,Inclusivity
REQ-055,System must achieve pragmatic goals,Social,Trust and fairness
REQ-056,System must ensure confidence in the organization,Social,Trust and fairness
REQ-057,System must be equal and honest,Social,Trust and fairness
REQ-058,System must mitigate potential risk to people,Social,Freedom from risk
REQ-059,Appropriate tones should be chosen in a color gradient that depends on the particular technology of the monitor,Social,User Profiling
REQ-060,Information shown in the GUI should be divided with thematic icons to reduce interaction complexity and allow for quick information retrieval,Social,User Profiling
REQ-061,Autocomplete functionality with at least three initial letters should be developed to quickly write complex names,Social,Access to Information
REQ-062,Designing systems that do not negatively impact users' physical or mental health,Social,Well being
REQ-063,Minimizing unnecessary cognitive load on users.,Social,Well Being
REQ-064,Ensuring software systems do not perpetuate or exacerbate social inequalities.,Social,Digital Divide
REQ-065,Smart cities must ensure secure and private data handling for sustainable development.,Social,Data Privacy
REQ-066,IoT-based smart cities should allow equitable access to services and public resources.,Social,Equitable access
REQ-067,System must enhance transparency in public services,Social,Ethical Concerns
REQ-068,The system should provide personalized home care services for individuals based on their needs,Social,Inclusitivity
REQ-069,Smart home systems should enhance the quality of life for residents.,Social,Well Being
REQ-070,Smart home systems should be inclusive catering to the needs of diverse users including the elderly and those with disabilities.,Social,Inclusitivity
REQ-071,Smart home systems should support independent living for residents.,Social,Autonomy
REQ-072,The system should not require technical knowledge for users to operate.,Social,Equitable access
REQ-073,The system should address user uncertainty about the advantages of smart home systems.,Social,Acceptability
REQ-074,Promote equitable access to modern and reliable and sustainable energy services,Social,Equitable access
REQ-075,Provide a user-friendly interface for residents to monitor their energy usage and receive energy-saving recommendations.,Social,User experience
REQ-076,Enable better information exchange among stakeholders.,Social,Transparency
REQ-077,The system must balance prediction accuracy with human-understandable explanations.,Social,Explainability
REQ-078,The system must provide customers with greater control over energy distribution and usage.,Social,Autonomy
REQ-079,The system must deliver detailed insights into energy consumption patterns and consumer behavior.,Social,Access to Information
REQ-080,The system must ensure proper ethical and regulatory considerations.,Social,Ethical Concerns
REQ-081,System must create publicly accessible data collection institutions and data websites.,Social,Access to information
REQ-082,The system must respond to occupant behavior and preferences for comfort optimization.,Social,Well Being
REQ-083,The system should support trust and transparency and communication among stakeholders.,Social,Trust and communication
REQ-084,The system must enable participation and community building (e.g. through collaboration platforms).,Social,Community engagement
REQ-085,The system must enhance access to lifelong learning opportunities.,Social,Access to Information
REQ-086,The system should avoid marginalizing less technically versed users.,Social,Digital inclusivity
REQ-087,System must ensure equitable access to smart grid benefits especially in underserved communities.,Social,Equitable Access
REQ-088,Enable efficient real-time data streaming and processing at the edge for healthcare.,Social,Access to Information
REQ-089,Achieve optimal performance while conserving energy.,Technical,Performance
REQ-090,Enable efficient real-time data streaming and processing at the edge for healthcare.,Technical,Data management
REQ-091,Assessing software over a long term and consider decisions with this in mind.,Technical,Longeitivity
REQ-092,System components can be separated and recombined,Technical,Modularity
REQ-093,Changes can be incorporated effectively,Technical,Modularity
REQ-094,System must support tasks effectively,Technical,Functional Suitability
REQ-095,The number of progress bars and animations and especially scrollbars used should be reduced.,Technical,Feature Bloat
REQ-096,Menus should present as few choices as possible to reduce the human cognitive process of decision-making in line with Hick-Hyman Law,Technical,Feature Bloat
REQ-097,Systems must be interpretable and adaptable to changing goals and dynamic data and unexpected failures and security threats,Technical,Durability
REQ-098,Smart city infrastructure should be resilient and scalable and interoperable,Technical,Resilence
REQ-099,System must enable sustainable data acquisition and transmission and big-data management.,Technical,Data management
REQ-100,Minimize data volume sent over network.,Technical,Data management
REQ-101,The system should manage data related to individuals including symptoms and health status and location.,Technical,Data management
REQ-102,The system should be adaptive and responsive to evolving pandemic situations and individual health needs.,Technical,Adaptability
REQ-103,Smart home systems should be able to integrate various devices and services.,Technical,Interoperability
REQ-104,Smart home systems should be adaptable to different user preferences and scenarios.,Technical,Adaptability
REQ-105,Users should be well-informed about the system's health and load.,Technical,Transparency
REQ-106,Users should be able to manage each smart home feature separately.,Technical,Modularity
REQ-107,No program should run in the system background independently without user knowledge or control.,Technical,Transparency
REQ-108,The system should enable intelligent control of home appliances.,Technical,Interoperability
REQ-109,The system should be integrated into existing infrastructure.,Technical,Compatability
REQ-110,The system should utilize enabling technologies for its functionalities.,Technical,Technology Utilization
REQ-111,The system should be accessible from anywhere with an internet connection.,Technical,Accessibility
REQ-112,The system should have a long lifespan for its components (durability).,Technical,Longeitivity
REQ-113,The system should overcome limitations of device and manufacturer incompatibility allowing communication between different products and operating systems.,Technical,Interoperability
REQ-114,The system should be able to be implemented in small steps due to its modular design.,Technical,Modularity
REQ-115,The system should address technological risk.,Technical,Risk management
REQ-116,Protect critical assets and guarantee continuity and safety of energy supply.,Technical,Durability 
REQ-117,Encourage development of resilient infrastructure,Technical,Longitivity
REQ-118,Reduce latency and improve real-time decision-making.,Technical,Connectivity
REQ-119,Promote deployment of energy-efficient systems through policy.,Technical,Policy adoption
REQ-120,The system must provide clear price signals and energy cost information to consumers.,Technical,Transparency
REQ-121,The system must ensure transparency of transactions.,Technical,Transparency
REQ-122,The system must establish standardized protocols and ensure compatibility between IoT devices and platforms.,Technical,Compatability
REQ-123,The system must ensure early fault detection and isolation for improved system performance and safety.,Technical,Modularity
REQ-124,The system must aid in anomaly detection and system behavior reproduction through sensor-based time series analysis.,Technical,Correctness
REQ-125,Conduct future consumption patterns precisely especially for non-linear data.,Technical,Longitivity
REQ-126,System must incorporate location-specific climate data (solar radiation and wind speed) to improve output.,Technical,Accuracy
REQ-127,The system must adaptively learn optimal control policies for diverse building conditions using deep Reinforcement Learning.,Technical,Adaptability
REQ-128,The system must generalize its performance across seasonal variations and unpredictable scenarios.,Technical,Longitivity
REQ-129,The system must maintain high prediction accuracy for energy forecasting (e.g. 94.8%).,Technical,Accuracy
REQ-130,The system must employ real-time sensor data processing and feedback for decision making.,Technical,Accuracy
REQ-131,The system must be modular and scalable for multi-building and district-level deployments.,Technical,Modularity
REQ-132,Analytical models estimating the environmental impact of an IoT deployment must be developed.,Technical,Technical Efficiency
REQ-133,Edge computing must be integrated to bring enhanced learning capabilities to IoT networks.,Technical,Technical Efficiency
REQ-134,Federated Learning in IoT networks must optimize transmission power to achieve minimum energy consumption.,Technical,Technical Efficiency
REQ-135,IoT nodes must achieve long-term sustainability with reduced carbon footprinting.,Technical,Technical Efficiency
REQ-136,Intelligent green IoT networking solutions must include service usage habit prediction through AI applications.,Technical,Technical Efficiency
